,token,lemma,POS,frequency(M),frequency(F),Mean frequency(M),Mean frequency(F),Chi2,p-value(Chi2),LL,p-value(LL),Welch's t,p-value(Welch's t)
131,That,that,DET,169,367,0.11289245156980628,0.1137984496124031,0.003742792046300913,0.9512171616194169,0.003740144401627621,0.9512343976117734,-0.07637054504244188,0.9391275395683156
132,should,should,VERB,1388,3039,0.927187708750835,0.9423255813953488,0.0015824198201344352,0.96826880769044,0.0015821674519580498,0.9682713367410734,-0.31243922620197573,0.7547205452447864
133,punished,punish,VERB,74,230,0.049432197728790914,0.07131782945736434,6.548246534782374,0.010498757588682612,6.8503099119543265,0.008862589794944774,-2.053888112470448,0.0400414872291786
134,punish,punish,VERB,35,49,0.02338009352037408,0.015193798449612403,3.717999097902884,0.05382884019019193,3.5471100214881535,0.059649255589859375,1.7944190135738953,0.07281028414645974
135,punishing,punish,VERB,12,16,0.008016032064128256,0.00496124031007752,1.2393998117449438,0.26558675609035565,1.1824271065863137,0.2768624382675543,0.9146936550858992,0.3603992004945499
136,",",",",PUNCT,14997,33482,10.01803607214429,10.38201550387597,3.0950401456436794,0.0785312150812054,3.1013506397228525,0.07822736818888644,-1.8430107811453742,0.06539010135525605
137,think,think,VERB,482,867,0.32197728790915164,0.2688372093023256,12.013237914077592,0.0005282400626283983,11.736705581368128,0.0006127939999820746,2.539711967883872,0.011126185040112133
138,think,think,VERB,125,268,0.08350033400133601,0.08310077519379845,0.024388410346010483,0.8759006850173586,0.02433724278618321,0.8760298814955797,0.040474447964708,0.9677165897523203
139,thought,think,VERB,13,25,0.008684034736138945,0.007751937984496124,0.04414569996740582,0.8335827719897397,0.04375528836639031,0.8343095608685149,0.3097685290612086,0.7567506601291538
140,thinking,think,VERB,21,34,0.014028056112224449,0.010542635658914728,0.9079104279290617,0.34066945221760647,0.8803374462200431,0.348109272287499,1.0386071550910485,0.29904067789786964
141,thinks,think,VERB,19,24,0.012692050768203072,0.0074418604651162795,2.7409601266674524,0.09780598572899435,2.5956945573643893,0.10715445572674427,1.7273787828796914,0.08416507615507335
142,thought,think,VERB,9,10,0.006012024048096192,0.0031007751937984496,1.5915791716624108,0.2071006592802062,1.4982058130708529,0.22094763338097131,1.3984127268929876,0.1620548607129168
143,such,such,ADJ,633,1383,0.4228456913827655,0.4288372093023256,0.003370905555446526,0.9537012341588902,0.0033697391861440273,0.9537092357908291,-0.216344580281874,0.8287285109370613
144,Such,such,ADJ,54,93,0.036072144288577156,0.02883720930232558,1.763917410776156,0.18413664231284016,1.7174005259743623,0.1900279984868367,1.2248579635855736,0.22068986431914867
145,men,man,NOUN,640,1118,0.42752171008684037,0.3466666666666667,20.91569935257709,4.799449649381657e-06,20.367511695439248,6.390557648384551e-06,2.0489520725980106,0.04052197763162353
146,man,man,NOUN,118,166,0.0788243152972612,0.05147286821705426,13.357455591975517,0.00025739728897310334,12.728696665824344,0.00036008739693198005,2.367386370460097,0.017954325551221
147,Men,man,NOUN,9,25,0.006012024048096192,0.007751937984496124,0.17981441894362388,0.6715327744793216,0.18360422514272834,0.6682939495778846,-0.6392353691244873,0.5227008465652507
148,mans,man,NOUN,7,3,0.004676018704074816,0.0009302325581395349,5.275781897216961,0.021624073964926955,4.7747647008362275,0.028879792787286654,1.6148677284941297,0.10640618119606045
149,Man,man,NOUN,3,1,0.002004008016032064,0.000310077519379845,1.8087176208968894,0.17866213990406293,1.6398883681654888,0.20034078514946463,1.8620564250818348,0.06265723623081311
150,the,the,DET,13905,33405,9.288577154308618,10.35813953488372,78.27695562144001,8.956058494749703e-19,79.12117430869466,5.841488386012102e-19,-6.116149194955414,1.0360193694225394e-09
151,The,the,DET,2234,5272,1.492317969271877,1.6347286821705427,8.273960870035971,0.004021767326048996,8.349655318092061,0.003857605026791071,-2.894477684362378,0.003815311510650788
152,THE,the,DET,0,61,0.0,0.01891472868217054,26.37235929970052,2.8154074475008226e-07,40.81030764883802,1.6774596374893015e-10,-1.142861019026759,0.25315426464130264
153,new,new,ADJ,298,752,0.19906479625918505,0.23317829457364342,4.060873424131537,0.0438877936470855,4.133164914869283,0.042050636747200866,-1.6497792062782604,0.09905464280470681
154,New,new,ADJ,8,14,0.005344021376085505,0.004341085271317829,0.07887414477885707,0.7788289719071538,0.07767994964063396,0.7804664437186982,0.4708363171492993,0.6377793855380337
155,newest,new,ADJ,11,12,0.007348029392117568,0.0037209302325581397,2.198362291842254,0.13815745103863525,2.0631472780908062,0.15089822338554254,1.5369963426899969,0.12436123341225751
